time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552566678948,342.33832,334.5097,315.14352,5.147875,6.374099,5.9342294,5.274065,0,97.13164,131.16737,96.73693,638.6164,192.30005,3.2545907
1552566738946,334.03787,331.532,306.8997,5.143492,6.3823223,5.9171343,5.2944856,0,97.00056,129.2639,96.75168,632.30286,190.02838,3.4259987
1552566798943,336.51468,339.9672,309.65237,5.156594,6.369914,5.9927,5.319836,0,96.803276,131.46037,98.7576,645.2486,190.22939,3.5989678
1552566859456,342.67737,336.07626,312.84186,5.1477666,6.3766317,6.0251546,5.3910427,0,96.73754,133.58777,96.59127,646.4806,189.24356,3.3558626
1552566919453,336.35626,335.62784,311.32877,5.1539917,6.3779526,6.0605993,5.3961353,0,96.60197,126.52689,94.55157,634.9042,193.15746,3.50401
1552566979451,336.2569,337.36038,311.02518,5.161081,6.370305,6.0409036,5.371694,0,96.70194,130.9535,98.74836,631.5042,189.28809,3.3588898
1552567039449,339.5963,333.03546,312.74286,5.1451464,6.3748717,6.000296,5.3477645,0,96.74172,123.176254,99.817444,632.2349,186.8052,3.3147693
1552567099446,336.40646,335.3418,308.82056,5.1483755,6.3688426,6.029178,5.3858914,0,96.70862,127.959526,101.87936,640.4548,192.30223,3.332997
1552567159444,335.885,338.8608,308.8185,5.146249,6.378398,6.035714,5.3909087,0,96.83416,131.6663,99.80002,635.6646,195.19772,3.2120216
1552567219956,336.03745,331.42853,309.8597,5.146443,6.37758,5.9793596,5.3300524,0,96.89968,132.15106,98.73581,635.7055,186.55605,3.38202
1552567279954,336.09702,336.02618,308.05533,5.148672,6.375585,5.9800987,5.324482,0,97.06089,128.73088,96.75444,632.3811,193.42987,3.2321608
1552567339951,336.90567,331.8918,305.79257,5.1472,6.372771,5.9804626,5.3231874,0,97.14466,128.40414,98.81225,631.5056,191.46156,3.314402
1552567399949,335.76022,331.84604,312.5392,5.137418,6.383887,5.9588,5.2765837,0,97.05932,128.84863,97.62999,640.7505,184.7018,3.435275
1552567459947,336.25516,339.5472,308.31158,5.152356,6.372903,5.955851,5.303983,0,97.13387,129.7616,97.638115,635.68805,191.64758,3.3575058
1552567519944,338.68948,330.98212,312.83777,5.153014,6.3749595,5.920729,5.282207,0,97.09031,127.70665,97.325455,634.09595,189.34709,3.3745916
1552567580441,337.2653,333.24472,309.55804,5.1555862,6.378888,5.9706035,5.322542,0,97.08693,128.75505,96.375465,638.7227,192.64627,3.433431
1552567640454,338.55872,338.91592,310.3011,5.1446896,6.3673186,6.0088625,5.3367524,0,96.85351,131.4404,97.44313,633.7821,191.38295,3.5694408
1552567700452,335.34097,330.9208,311.5844,5.1393175,6.376282,6.055784,5.39784,0,96.563446,124.01272,97.232544,633.96497,188.94113,3.6574602
1552567760449,334.5811,333.8334,311.76352,5.1467743,6.3677936,6.1148353,5.4890056,0,96.551834,128.15958,96.48395,633.97034,193.48772,3.4464228
1552567820447,339.3586,338.45892,312.2479,5.1477,6.3757825,6.1060715,5.4709935,0,96.46848,129.62306,97.02322,637.8521,188.21152,3.5425408
1552567880445,336.1729,333.34433,312.16147,5.1556554,6.3817563,6.1420264,5.502998,0,96.40516,129.00566,98.559784,640.1063,187.50586,3.3658338
1552567940941,335.88773,338.07434,313.7761,5.129809,6.363223,6.1809278,5.501299,0,96.53201,126.98934,97.46318,630.81116,193.77124,3.3867474
1552568000955,341.71457,333.29468,314.1104,5.1549935,6.375753,6.1146607,5.4527783,0,96.476036,130.79846,99.64918,644.69385,188.56624,3.4577532
1552568060952,335.09888,337.39944,314.38248,5.1547103,6.3697925,6.1558266,5.5148845,0,96.38363,130.50755,95.611,631.926,193.10576,3.4821594
1552568120950,336.24316,333.81366,312.08835,5.141719,6.3661437,6.180822,5.5198636,0,96.55318,131.57626,99.65756,634.0702,187.49179,3.3915997
1552568180947,339.68915,331.43677,314.99072,5.1560664,6.37739,6.097235,5.447478,0,96.5924,130.27751,98.85625,634.00543,193.2591,3.4187436
1552568240945,336.21268,339.3014,311.95682,5.1486797,6.368317,6.13251,5.4689426,0,96.61983,131.16275,98.8922,641.6913,188.4694,3.5538025
1552568301442,335.4484,332.26257,313.66718,5.1512594,6.3720894,6.15595,5.5077233,0,96.75037,130.55814,99.8132,638.672,194.3265,3.4218693
1552568361455,335.67554,340.4339,310.8634,5.157933,6.376731,6.094175,5.434251,0,96.864426,128.74709,97.841705,630.7271,189.57845,3.5202022
1552568421453,340.5458,332.66263,314.33917,5.1496186,6.376105,6.099167,5.449653,0,96.86006,130.15897,97.2794,629.90027,192.63214,3.4683092
